"","TehsilNo","Zone name","District name","Tehsil name","Village name","State","Crop","Year","Zone No.","Cultivator No.","Ha-months in ground (Ha.)","Parcel Plot Season (PPS)","Main Product (Qtls.)","Crop Area (Ha.)","Main Product (Rs.)","By Product (Rs.)","Family Labour (Hrs.)","Family Labour (Rs.)","Attached Labour (Hrs.)","Attached Labour (Rs.)","Casual Labour (Hrs.)","Casual Labour (Rs.)","Hired Animal Labour (Hrs.)","Hired Animal Labour (Rs.)","Owned Animal Labour (Hrs.)","Owned Animal Labour (Rs.)","Hired Machine (Hrs.)","Hired Machine (Rs.)","Own Machine (Hrs.)","Own Machine (Rs.)","Hired Irrigation Machine (Hrs.)","Hired Irrigation Machine (Rs.)","Owned Irrigation Machine (Hrs.)","Owned Irrigation Machine (Rs.)","Canal and Other Irrigation Charges (Rs)","Seed Qty. (Kg.)","Seed Value (Rs.)","Fertiliser (N) (Kg.)","Fertiliser (N) (Rs.)","Fertiliser (P) (Kg.)","Fertiliser (P) (Rs.)","Fertiliser (K) (Kg.)","Fertiliser (K) (Rs.)","Other Fertiliser (Kg.)","Other Fertiliser (Rs.)","Total Fertiliser (Kg.)","Total Fertiliser (Rs.)","Manure (Qtl.)","Manure (Rs.)","Insecticides (Rs.)","Crop Insurance (Rs.)","Payment to Contractor (Rs.)","Miscelaneous Cost (Rs.)","Land Revenue (Rs.)","Rent Paid for Leased in Land (Rs.)","Imputed Rent (Rs.)","Total Depreciation (Rs.)","Total Capital (Rs.)","Sample No. of Growers in size group","Total Number of Growers in size group","Cluster Factor/Weight","Area of all selected crops in Village (Ha.)","No. of Villages in Tehsil","Area of Crop in Zone (Ha.)","Production of Crop in Zone (Qtl.)","No. of Tehsils in Zone","Sample Tehsils in Zone","Area of all selected crops in Zone (Ha.)","Interest on working capital rate(%)","Interest on fixed capital rate(%)","Minimum Rent (%age of GVO)","Maximum Rent (%age of GVO)","Sample Zone in State","Sample Clusters in State","Tenure","Variety"
"767",16,"I","Chhapra","Chhapra","Jaitpur","Bihar","Wheat","2017-18",1,2,1,3012,9.5,0.25,14250,4800,45,1598.85,0,0,40.16,1400,0,0,0,0,2.3,1610,0,0,10.5,1365,0,0,0,30,900,23.82,481.73,11.5,638.27,0,0,0,0,35.32,1120,0,0,0,0,NA,0,25,0,3500,363,4536,131,2,65.5,225.8,1781,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"768",16,"I","Chhapra","Chhapra","Jaitpur","Bihar","Wheat","2017-18",1,9,8,4012,72,2,108000,32000,99,3517.47,0,0,430.24,13000,0,0,0,0,17,11900,0,0,0,0,78,5650.32,0,220,6600,210.8,4293.86,92,5106.14,0,0,0,0,302.8,9400,0,0,0,0,NA,0,200,0,16500,766,18419,2,2,1,225.8,1781,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"769",16,"I","Chhapra","Chhapra","Jaitpur","Bihar","Paddy","2017-18",1,6,4,4011,36,1,46800,11100,52,1847.56,52,1847.56,460.96,17200,0,0,0,0,0,0,6,86.71,0,0,38,2803.18,0,50,1500,108.8,2119.78,78.2,4340.22,0,0,0,0,187,6460,0,0,0,0,NA,0,100,0,8250,1536,241036,18,4,4.5,225.8,1781,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"770",16,"I","Chhapra","Chhapra","Jaitpur","Bihar","Wheat","2017-18",1,9,6,3012,57,1.5,85500,26800,87,3091.11,0,0,328.8,10200,0,0,0,0,12,8400,0,0,0,0,58,4201.47,0,165,4950,165,3370.39,69,3829.61,0,0,0,0,234,7200,0,0,0,0,NA,0,300,0,24750,766,18419,2,2,1,225.8,1781,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"771",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,7,1.5,4012,9.12,0.3,12768,2768,53,1335.6,0,0,52,1300,0,0,0,0,2.4,2160,0,0,10.83,1300,0,0,0,31,930,16.54,333.14,12.88,714.86,6.6,198,0,0,36.02,1246,0,0,0,0,NA,0,18.75,0,5000,1108,38422,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"772",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,7,1.5,3012,9.2,0.3,12880,2825,50,1259.79,0,0,49.36,1220,0,0,0,0,1.5,1350,0,0,11.08,1330,0,0,0,30,900,20.86,343.61,13.34,740.39,7.2,216,0,0,41.4,1300,0,0,0,0,NA,0,18.75,0,5000,1108,38422,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"773",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Paddy","2017-18",1,5,1.2,2011,9.96,0.3,10956,2645,92,2318.02,0,0,148,3700,0,0,0,0,1.5,1350,0,0,0,0,11.75,791.27,0,4.5,1237.5,28.86,455.62,13.8,492.38,9,270,0,0,51.66,1218,0,0,0,0,NA,0,15,0,4000,1421,46421,14,8,1.75,113.98,573,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Hybrid"
"774",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Paddy","2017-18",1,5,1.6,4011,13.44,0.4,14784,3550,104,2620.37,0,0,182.72,4700,0,0,0,0,2.25,2025,0,0,0,0,15.17,1021.58,0,6,1650,37.1,618.77,18.4,1021.23,12,360,0,0,67.5,2000,0,0,0,0,NA,0,15,0,5333.33,1421,46421,14,8,1.75,113.98,573,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Hybrid"
"775",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,2,1.5,3012,9.18,0.3,12852,2862,52,1310.18,0,0,46.72,1140,0,0,0,0,2.4,2160,0,0,11,1320,0,0,0,30,900,20.12,330.08,13.8,765.92,7.2,216,0,0,41.12,1312,0,0,0,0,NA,0,18.75,0,5000,1151,33121,193,2,96.5,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"776",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Paddy","2017-18",1,4,2,5011,16.8,0.5,18480,3610,68,1713.32,0,0,312,7800,0,0,0,0,2.75,2475,0,0,20.25,2430,0,0,0,7.5,2062.5,46.72,775.06,23,1230.94,15,450,0,0,84.72,2456,0,0,0,0,NA,0,15.56,0,6666.67,1194,33078,14,8,1.75,113.98,573,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Hybrid"
"777",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,2,1.5,4012,9.13,0.3,12782,2600,53,1335.38,0,0,49.36,1220,0,0,0,0,2.4,2160,0,0,10.92,1310,0,0,0,30,900,13.68,362.08,13.8,765.92,6,180,0,0,33.48,1308,0,0,0,0,NA,0,18.75,0,5000,1151,33121,193,2,96.5,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"778",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Paddy","2017-18",1,5,1.2,3011,9.84,0.3,10824,2612,94,2368.41,0,0,128,3200,0,0,0,0,1.67,1500,0,0,0,0,11.75,791.27,0,4.5,1237,27.48,458.08,13.8,765.92,9,270,0,0,50.28,1494,0,0,0,0,NA,0,15,0,4000,1421,46421,14,8,1.75,113.98,573,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Hybrid"
"779",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,10,1.5,5012,9.23,0.3,12922,2850,36,907.05,0,0,65.36,1620,0,0,0,0,0,0,2.4,655.25,0,0,10.92,735.37,0,31,930,20.4,335.61,13.34,740.39,7.2,216,0,0,40.94,1292,0,0,0,0,NA,0,18.75,0,5000,1081,90165,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"780",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,6,1.5,3012,9.23,0.3,29064,2875,57,1436.16,0,0,46.72,1140,0,0,0,0,2.4,2160,0,0,10.92,1310,0,0,0,31,930,20.4,335.61,13.34,740.39,6.6,198,0,0,40.34,1274,0,0,0,0,NA,0,18.75,0,5000,1976,31302,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"781",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,8,2.5,4012,14.75,0.5,20650,4150,30,755.88,0,0,138,3450,0,0,0,0,4,3600,0,0,18.75,2280,0,0,0,52,1560,35.78,590.17,22.08,1221.83,12,360,0,0,69.86,2172,0,0,0,0,NA,0,19.44,0,8333.33,1198,32561,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"782",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,3,1,2012,6.09,0.2,8526,1826,43,1083.42,0,0,29.36,720,0,0,0,0,1.57,1440,0,0,0,0,7.42,499.68,0,20,600,13.72,225.39,9.2,510.61,4.8,144,0,0,27.72,880,0,0,0,0,NA,0,18.75,0,3333.33,1309,49619,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"783",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,7,2,5012,12.13,0.4,16982,3725,28,705.48,0,0,118.36,2945,0,0,0,0,3.2,2880,0,0,15.92,1910,0,0,0,41,1230,26.62,437.83,17.48,970.17,10.2,306,0,0,54.3,1714,0,0,0,0,NA,0,18.75,0,6666.67,1108,38422,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
