"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,22.8,25.2,30.9,33.3,33.6,33.1,32.1,32.8,32.1,33.1,28.1,24.2
"2",2,22.4,25.5,31.6,36.8,39.1,35.7,33.2,33.2,32.8,33.2,28.1,24.1
"3",3,24.4,26.8,32.1,35.7,36.1,34.5,32.8,33.2,33,33.6,29.3,25.6
"4",4,23.7,26.6,32.1,35.8,36.2,34.9,32.9,33.3,32.9,33.4,28.7,25.1
"5",5,22.3,24.9,31.5,34.5,35.3,33.5,32.5,33.2,32.5,33.3,28.3,24
"6",6,22.3,24.9,31.5,34.5,35.3,33.5,32.5,33.2,32.5,33.3,28.3,24
"7",7,22.4,24.9,31.4,34.4,35.2,33.4,32.5,33.4,32.5,33.4,28.2,24.1
"8",8,22.3,25.2,31.5,36.4,37.9,34.5,32.4,33.4,32.7,33.7,28.6,24.1
"9",9,22.7,26.4,32.7,37.8,39.4,35.7,33.7,33.6,33.5,34.3,29.1,24.7
"10",10,22.2,25,31,35.8,37.1,33.6,32.3,33.1,33,33.3,28.2,23.5
"11",11,22.2,25.2,31.1,36.1,37.2,33.9,32.3,33.2,32.9,33.4,28.2,23.7
"12",12,22.7,25.1,31,33.3,33.8,32.8,31.9,32.6,32.1,33.1,27.9,24.1
"13",13,22.7,25.1,31,33.2,33.9,33,32,32.6,32.2,33,28,24.2
"14",14,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"15",15,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"16",16,23.7,26.3,31.5,36.7,38.7,35.6,33.6,32.9,33.1,33.1,28.5,25.3
"17",17,22.1,25,31.1,36.2,37.7,33.9,32.3,33.2,32.9,33.5,28.3,23.8
"18",18,22.5,25.1,31.1,35,37.9,34.9,32.8,33.1,32.5,33.1,28,23.9
"19",19,23.8,26.5,32,35.6,36.1,34.7,32.9,33.2,32.9,33.3,28.8,25.2
"20",20,24.3,26.7,31.9,35.4,36,34.7,32.8,33.1,32.9,33.4,28.9,25.4
"21",21,22.4,24.8,31.1,33.6,34.9,33.4,32.5,33.1,32.4,33.2,28,23.9
"22",22,22.6,25.1,31,33.5,33.8,32.7,32,32.9,32,33.2,28,24.1
"23",23,22.7,25.2,31,33.3,33.7,32.6,31.9,32.9,32.1,33.2,27.9,24.2
"24",24,23,25.3,31.1,33.6,33.7,33,32,32.7,32.2,33.2,27.9,24.3
"25",25,22.7,25,31,33.3,33.8,32.9,32,32.7,32.2,33,27.9,24.2
"26",26,22.7,25,31,33.4,33.8,32.9,31.9,32.6,32,33,27.8,24.2
"27",27,22.7,25.2,31,33.4,33.8,32.9,31.8,32.5,32,33,27.9,24.1
"28",28,22.7,25,31,33.3,33.8,32.9,32,32.7,32.2,33,27.9,24.2
"29",29,22.8,25.3,31,33.3,34.9,33.7,32.3,32.9,32.5,33.2,28.4,24.3
"30",30,22.9,25.2,31,33.2,34.2,33.3,32.3,32.8,32.3,33.2,28.1,24.3
"31",31,22.4,25.3,31.5,35.8,38.8,35.6,33.1,33.3,32.9,33.4,28.5,24
"32",32,22.5,24.8,30.7,33.1,33.9,33.1,32.2,32.8,32.2,33.1,28,24
"33",33,22.5,24.8,30.7,33.1,33.9,33.1,32.2,32.8,32.2,33.1,28,24
"34",34,22.4,24.8,30.7,33.6,34.3,33.1,32.3,33.1,32.2,33.2,28,23.9
"35",35,22.5,24.8,30.7,33.1,33.9,33.1,32.2,32.8,32.2,33.1,28,24
"36",36,22.7,25.2,31,33.3,33.7,32.6,31.9,32.9,32.1,33.2,27.9,24.2
"37",37,22.5,25,30.7,33.1,33.8,33,32,32.6,32.1,33,27.9,24
"38",38,22.7,25.2,31.1,33.4,33.8,32.6,32,32.9,32.1,33.2,27.9,24.2
"39",39,22.7,25.2,31.1,33.4,33.8,32.6,32,32.9,32.1,33.2,27.9,24.2
"40",40,22.4,24.8,30.7,33.6,34.3,33.1,32.3,33.1,32.2,33.2,28,23.9
"41",41,22.7,25.1,31,33.2,33.9,33,32,32.6,32.2,33,28,24.2
"42",42,23.1,25.6,31.3,33.5,33.7,33.3,32.2,32.9,32.2,33.3,28.3,24.6
"43",43,22.4,24.8,31,33,34.8,33.4,32.3,33,32.3,33.1,28,23.9
"44",44,22.4,25.1,31.3,35.9,37,33.8,32.4,33.3,32.6,33.6,28.4,23.9
"45",45,22.4,25.1,31.3,36,37.2,33.9,32.4,33.3,32.7,33.7,28.5,23.9
"46",46,22.4,25.1,31.3,35.9,37,33.8,32.4,33.3,32.6,33.6,28.4,23.9
"47",47,22.5,25.3,32,36.2,37.2,34.1,32.6,33.4,32.8,33.7,28.6,24.1
"48",48,22.4,25.2,31.4,35.9,37.1,33.9,32.4,33.4,32.7,33.6,28.5,24
"49",49,22.4,25.2,31.4,35.9,37.1,33.9,32.4,33.4,32.7,33.6,28.5,24
"50",50,22.5,25.3,32,36.2,37.2,34.1,32.6,33.4,32.8,33.7,28.6,24.1
"51",51,22.2,25.3,31.5,36.8,37.9,34.8,32.4,33.3,32.8,33.9,28.6,24.2
"52",52,22.3,25,31,35.5,36.3,33.1,32.2,33.3,32.6,33.5,28.1,23.6
"53",53,22.3,25,31,35.5,36.3,33.1,32.2,33.3,32.6,33.5,28.1,23.6
"54",54,22.3,25,31,35.5,36.3,33.1,32.2,33.3,32.6,33.5,28.1,23.6
"55",55,22.3,25,31,35.5,36.3,33.1,32.2,33.3,32.6,33.5,28.1,23.6
"56",56,22.2,25,31,35.7,36.7,33.6,32.3,33.2,32.8,33.4,28.1,23.6
"57",57,22.1,25.1,31.3,36.6,38.1,34.4,32.3,33.2,32.8,33.8,28.4,24
"58",58,22.2,25,30.9,35.3,36.4,33.6,32.2,33.2,32.7,33.3,28.1,23.6
"59",59,22.2,25.1,31.2,36.2,37.4,34.1,32.3,33.2,32.9,33.5,28.2,23.7
"60",60,22.2,25.1,31.2,36.2,37.4,34.1,32.3,33.2,32.9,33.5,28.2,23.7
"61",61,22.3,25.1,30.8,34.9,35.7,33.2,32.2,33.2,32.6,33.3,28,23.6
"62",62,22.4,24.8,31.1,33.6,34.9,33.4,32.5,33.1,32.4,33.2,28,23.9
"63",63,22.4,24.8,30.9,33.3,34.6,33.4,32.4,33.1,32.3,33.2,28,24
"64",64,22.7,25,30.8,33.1,33.9,33.1,32,32.7,32.1,33,27.9,24.1
"65",65,23.1,25.6,31.3,33.6,33.6,33.4,32.4,32.9,32.2,33.3,28.3,24.7
"66",66,23.1,25.6,31.3,33.6,33.6,33.4,32.4,32.9,32.2,33.3,28.3,24.7
"67",67,23.1,25.6,31.3,33.6,33.6,33.4,32.4,32.9,32.2,33.3,28.3,24.7
"68",68,22.8,25.2,30.9,33.3,33.8,33.1,32.2,32.7,32.2,33.1,28,24.3
"69",69,22.8,25.1,30.9,33.3,33.8,33,32,32.6,32.2,33.1,28,24.3
"70",70,22.7,25.3,31,33.4,33.5,32.8,31.9,32.7,32.1,33.1,27.9,24.1
"71",71,23.1,25.6,31.3,33.6,33.6,33.4,32.4,32.9,32.2,33.3,28.3,24.7
"72",72,22.7,25.3,31,33.4,33.5,32.8,31.9,32.7,32.1,33.1,27.9,24.1
"73",73,22.7,25.1,31,33.2,33.9,33,32,32.6,32.2,33,28,24.2
"74",74,22.8,25.2,30.9,33.3,33.8,33.1,32.2,32.7,32.2,33.1,28,24.3
"75",75,22.7,25.1,31,33.2,33.9,33,32,32.6,32.2,33,28,24.2
"76",76,22.7,25.3,31,33.4,33.5,32.8,31.9,32.7,32.1,33.1,27.9,24.1
"77",77,23.1,25.6,31.3,33.6,33.6,33.4,32.4,32.9,32.2,33.3,28.3,24.7
"78",78,23.1,25.6,31.3,33.5,33.7,33.3,32.2,32.9,32.2,33.3,28.3,24.6
"79",79,23,25.5,31.1,33.5,33.6,33.3,32.1,32.9,32.1,33.2,28.3,24.6
"80",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,22.5,24.9,30.8,34.1,34.8,33.1,32.4,33.3,32.4,33.4,28.1,23.9
"84",84,22.5,24.9,30.8,34.1,34.8,33.1,32.4,33.3,32.4,33.4,28.1,23.9
"85",85,22.6,25,30.7,33.7,34.2,32.8,32.2,33.2,32.1,33.2,27.9,23.9
"86",86,22.6,25.1,30.9,33.2,34,32.6,32,33.1,32,33.1,27.9,24.1
"87",87,22.6,25,30.7,33.9,34.3,32.8,32.2,33.2,32.3,33.3,28.1,23.9
"88",88,22.6,25,30.7,33.8,34.1,32.7,32.1,33.2,32.2,33.2,27.9,23.9
"89",89,22.6,25,30.9,33.4,34.1,32.6,32,33.1,32.2,33.2,27.9,23.9
"90",90,22.5,24.9,30.8,33.6,34,32.7,32.1,33.2,32.3,33.3,27.9,23.8
"91",91,22.5,24.9,30.8,33.6,34,32.7,32.1,33.2,32.3,33.3,27.9,23.8
"92",92,22.3,24.9,31.4,34.1,35.2,33.5,32.4,33.2,32.6,33.2,28.2,24
"93",93,22.5,25,31.5,34.2,35.4,33.6,32.4,33.2,32.7,33.3,28.3,24
"94",94,22.4,25,31.4,34.4,36.3,34.3,32.7,33.1,32.6,33.3,28.4,23.9
"95",95,22.4,25,31.4,34.4,36.3,34.3,32.7,33.1,32.6,33.3,28.4,23.9
"96",96,22.4,25.1,31.5,34.6,36.3,34.3,32.7,33.1,32.7,33.2,28.6,24
"97",97,22.4,25.6,31.9,36.1,37,34.1,32.7,33.5,32.9,33.8,28.7,24.4
"98",98,22.4,25.6,31.9,36.1,37.1,34.1,32.7,33.5,32.9,33.7,28.8,24.4
"99",99,22.5,25.5,31.7,36.5,38.3,34.7,32.8,33.4,32.9,33.9,28.8,24.3
"100",100,22.4,25.3,31.9,36,37.8,35.2,32.8,33.3,33,33.5,28.9,24.1
"101",101,22.4,25,31.3,35,35.5,33.3,32.5,33.4,32.6,33.6,28.4,23.9
"102",102,23.5,26.5,31.8,36.5,37.1,35.3,32.8,33.4,33.2,33.8,29.1,25.2
"103",103,23.6,26.5,31.9,35.2,35.1,34.2,32.6,33,32.8,33.8,28.9,25.2
"104",104,24,26.6,31,35.7,36.7,35.1,32.5,32.7,32.7,33.1,28.8,25.2
"105",105,23.2,25.8,31.5,35.8,37.6,35.2,33.1,33.2,32.9,33.3,28.6,24.7
"106",106,22.5,25.2,31.8,35.8,36.7,33.9,32.5,33.4,32.7,33.7,28.6,24.1
"107",107,22.4,25.3,31.9,36.6,37.9,34.2,32.6,33.4,32.8,33.7,28.7,24.2
"108",108,22.4,25.5,31.9,36.4,37.7,34.2,32.7,33.5,32.8,33.7,28.8,24.2
"109",109,22.4,25.2,31.4,35.9,37.1,33.9,32.4,33.4,32.7,33.6,28.5,24
"110",110,22.4,25.1,31.5,35.5,36.3,33.4,32.3,33.4,32.5,33.6,28.5,23.9
"111",111,22.4,25.4,31.9,36.6,37.7,34.1,32.6,33.4,32.8,33.7,28.8,24.3
"112",112,22.4,25.1,31.3,36,37.2,33.9,32.4,33.3,32.7,33.7,28.5,23.9
"113",113,22.2,24.9,31,35.6,36.7,33.5,32.3,33.2,32.9,33.2,28.1,23.6
"114",114,22.2,25,31,35.6,36.7,33.3,32.2,33.2,32.6,33.5,28.1,23.6
"115",115,22.2,25.2,31.4,36.4,37.7,34.8,32.3,33.2,32.7,33.7,28.5,23.9
"116",116,22.3,25,31,35.6,36.6,33.2,32.2,33.3,32.5,33.5,28.1,23.6
"117",117,22.2,24.9,31,35.6,36.7,33.5,32.3,33.2,32.9,33.2,28.1,23.6
"118",118,22.2,25.2,31.1,36.1,37.2,33.9,32.3,33.2,32.9,33.4,28.2,23.7
"119",119,22.3,25,31,35.6,36.6,33.2,32.2,33.3,32.5,33.5,28.1,23.6
"120",120,22.5,25.1,31.2,34.6,35.4,33.1,32.4,33.4,32.5,33.6,28.4,24
"121",121,22.4,25.1,31.4,35.3,36,33.3,32.3,33.4,32.5,33.6,28.4,23.9
"122",122,22.6,25.1,31,33.5,33.8,32.7,32,32.9,32,33.2,28,24.1
"123",123,22.3,24.8,30.6,33.6,34.4,33.1,32.3,33.1,32.3,33.1,28,23.9
"124",124,22.6,25,30.8,33.3,33.8,32.8,32,32.7,32.1,33,27.9,24
"125",125,22.7,25.1,31,33.3,33.8,32.8,31.9,32.6,32.1,33.1,27.9,24.1
"126",126,23.1,25.6,31.3,33.6,33.6,33.4,32.4,32.9,32.2,33.3,28.3,24.7
"127",127,22.8,25.2,30.9,33.3,33.8,33.1,32.2,32.7,32.2,33.1,28,24.3
"128",128,22.8,25.1,30.9,33.3,33.8,33,32,32.6,32.2,33.1,28,24.3
"129",129,22.7,25.1,31,33.2,33.9,33,32,32.6,32.2,33,28,24.2
"130",130,23.1,25.6,31.3,33.5,33.7,33.3,32.2,32.9,32.2,33.3,28.3,24.6
"131",131,23,25.5,31.1,33.5,33.6,33.3,32.1,32.9,32.1,33.2,28.3,24.6
"132",132,23,25.5,31.1,33.5,33.6,33.3,32.1,32.9,32.1,33.2,28.3,24.6
"133",133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,22.7,25.2,30.9,33.3,35,33.9,32.5,33,32.5,33.2,28.3,24.2
"136",136,22.6,25,30.7,33.7,34.2,32.8,32.2,33.2,32.1,33.2,27.9,23.9
"137",137,22.5,24.9,30.8,33.6,34,32.7,32.1,33.2,32.3,33.3,27.9,23.8
"138",138,22.4,25,31.6,34.6,36.2,33.9,32.4,33.2,32.6,33.3,28.3,24
"139",139,22.5,25.5,31.7,36.5,38.3,34.7,32.8,33.4,32.9,33.9,28.8,24.3
"140",140,22.5,25.4,32,35.9,37,34.1,32.7,33.5,32.8,33.7,28.6,24.3
"141",141,22.4,25.3,32,35.9,37.2,34.3,32.7,33.3,32.8,33.5,28.6,24.1
"142",142,22.4,25.3,32,36.2,37.3,34.1,32.6,33.5,32.7,33.6,28.5,24.1
"143",143,22.5,25.2,32,36.1,37.3,34,32.7,33.4,32.8,33.5,28.4,24.2
"144",144,23,25.5,31.4,33.8,33.6,33.1,32.1,32.9,32.2,33.2,28.3,24.5
"145",145,22.5,25.3,32.1,36.1,37.4,34.3,32.6,33.4,32.7,33.6,28.5,24.2
"146",146,22.7,25.9,30.9,37.1,38.9,34.8,33,32.4,32.7,33.5,28.6,24.4
"147",147,22.7,25.9,30.9,37.1,38.9,34.8,33,32.4,32.7,33.5,28.6,24.4
"148",148,22.7,25.9,30.9,37.1,38.9,34.8,33,32.4,32.7,33.5,28.6,24.4
"149",149,22.7,25.9,30.9,37.1,38.9,34.8,33,32.4,32.7,33.5,28.6,24.4
"150",150,22.6,25.7,30.6,36.7,38.7,34.7,33,32.2,32.5,33.3,28.4,24.4
"151",151,23.3,25.9,31.3,33.9,33.5,33,31.9,32.9,32.1,33.1,28.2,24.9
"152",152,23.3,25.9,31.3,33.9,33.5,33,31.9,32.9,32.1,33.1,28.2,24.9
"153",153,22.7,25.9,30.9,37.1,38.9,34.8,33,32.4,32.7,33.5,28.6,24.4
"154",154,23.3,25.9,31.3,33.9,33.5,33,31.9,32.9,32.1,33.1,28.2,24.9
"155",155,22.9,25.2,31,33.2,34.2,33.3,32.3,32.8,32.3,33.2,28.1,24.3
"156",156,22.4,24.9,31.4,34.1,35.4,33.7,32.4,33.2,32.6,33.2,28.2,24
"157",157,22.5,25.1,31.9,35.7,36.9,34.2,32.7,33.3,32.7,33.4,28.4,24.2
"158",158,22.6,25.7,30.6,36.7,38.7,34.7,33,32.2,32.5,33.3,28.4,24.4
"159",159,22.7,26.4,32.7,37.8,39.3,35.7,33.7,33.6,33.6,34.6,29.5,24.8
"160",160,23.9,26.5,31.4,33.9,33.4,33.1,32.1,33,32.3,33.3,28.6,25.5
"161",161,23.9,26.7,32,36.8,37.3,35.7,32.9,33.3,32.9,33.3,29,25.5
"162",162,24,27,32.2,36.8,37.2,35.4,32.9,33.1,32.8,33.3,29.1,25.4
"163",163,23.9,26.7,32,36.8,37.3,35.7,32.9,33.3,32.9,33.3,29,25.5
