"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,22.6,26.5,32.6,33.8,33,32.9,32.8,31.7,32.7,32.6,28.3,25.2
"2",2,22.3,27,34.1,38.1,37.8,35.4,33.6,32.7,32.6,32.5,28.2,24.7
"3",3,24.2,28.2,34.7,38.2,36.1,34.5,33.2,32.5,33,32.7,29.5,26.8
"4",4,23.4,27.9,34.2,37.7,36,34.9,33.4,32.7,33,32.6,29,26.1
"5",5,22.3,26.7,33.2,35.5,34.1,33.5,33.2,32.3,32.9,32.7,28.6,25
"6",6,22.3,26.7,33.2,35.5,34.1,33.5,33.2,32.3,32.9,32.7,28.6,25
"7",7,22.4,26.6,33.2,35.5,34,33.5,33.2,32.4,33,32.8,28.5,25
"8",8,22.4,27.1,33.8,37.2,35.9,34.6,33.3,32.4,32.9,33.2,28.9,25.2
"9",9,22.6,28,35,39.2,38.1,35.6,34.3,33.2,33.4,33.5,29.2,25.1
"10",10,22.4,26.8,33.8,37,35.1,33.6,33.1,32.1,33,33,28.8,24.6
"11",11,22.4,27.1,33.9,37.3,35.3,33.9,33.1,32.2,32.9,33.1,28.8,24.8
"12",12,22.6,26.5,32.8,33.8,33.1,32.6,32.6,31.5,32.7,32.6,28.1,25.1
"13",13,22.6,26.5,32.7,33.8,33.2,32.9,32.6,31.7,32.6,32.4,28.2,25.2
"14",14,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"15",15,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"16",16,23.8,27.7,34.3,38.1,36.8,35,33.6,32.5,32.5,32.4,28.4,25.6
"17",17,22.3,26.8,33.8,37.3,35.8,33.9,33.1,32.2,32.9,33.2,28.9,24.9
"18",18,22.3,26.5,33.4,35.9,36.8,34.7,33.3,32.4,32.5,32.3,28.2,24.8
"19",19,23.5,27.9,34.3,37.6,36,34.7,33.3,32.6,32.9,32.5,29.1,26.3
"20",20,24,28.1,34.4,37.7,35.9,34.7,33.1,32.5,32.8,32.6,29.2,26.5
"21",21,22.3,26.3,32.9,34.4,33.9,33.4,33.1,32.2,32.7,32.5,28.2,24.9
"22",22,22.7,26.5,32.9,33.7,32.7,32.5,32.7,31.6,32.8,32.6,28.2,24.9
"23",23,22.7,26.5,32.8,33.5,32.7,32.5,32.6,31.7,32.9,32.6,28,25
"24",24,22.8,26.5,32.7,34.2,33.1,32.9,32.6,31.7,32.8,32.7,28.1,25.3
"25",25,22.5,26.4,32.7,33.8,33.1,32.8,32.6,31.8,32.6,32.4,28,25.2
"26",26,22.6,26.4,32.7,33.8,33.1,32.7,32.6,31.5,32.5,32.5,28,25.2
"27",27,22.6,26.5,32.7,33.8,33.1,32.7,32.5,31.4,32.6,32.5,28.2,25.2
"28",28,22.5,26.4,32.7,33.8,33.1,32.8,32.6,31.8,32.6,32.4,28,25.2
"29",29,22.7,26.6,32.8,34,34.2,33.6,32.8,32,32.7,32.5,28.5,25.2
"30",30,22.7,26.5,32.7,33.8,33.6,33.2,32.8,31.9,32.7,32.6,28.2,25.3
"31",31,22.3,26.7,33.8,36.7,37.4,35.4,33.6,32.6,32.9,32.6,28.5,24.8
"32",32,22.5,26.3,32.6,33.8,33.1,32.9,32.8,31.8,32.7,32.5,28.2,25
"33",33,22.5,26.3,32.6,33.8,33.1,32.9,32.8,31.8,32.7,32.5,28.2,25
"34",34,22.5,26.4,32.7,34.3,33.2,33,33,32,32.8,32.6,28.3,24.8
"35",35,22.5,26.3,32.6,33.8,33.1,32.9,32.8,31.8,32.7,32.5,28.2,25
"36",36,22.7,26.5,32.8,33.5,32.7,32.5,32.6,31.7,32.9,32.6,28,25
