"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1016",1016,22.2,27,31.9,38.3,41,38.6,33,33.2,32.9,32.2,29.3,24.9
"1017",1017,22.3,26.8,32.2,38.6,41.2,39,33,33,32.4,31.7,28.7,25
"1018",1018,22.4,26.3,30.5,35.2,36.9,35.5,32.6,32.8,32.8,31.9,28.7,24.8
"1019",1019,22.7,26.1,29.8,34.1,35.8,34.4,32.1,32.6,32.5,31.5,28.7,25.1
"1020",1020,22.1,26.6,31.4,37.6,41,38.3,32.8,33.1,32.8,32,28.9,24.7
"1021",1021,22.2,27,31.9,38.3,41.2,38.6,33,33.2,32.9,32.3,29.1,24.8
"1022",1022,22.2,27,31.9,38.3,41.2,38.6,33,33.2,32.9,32.3,29.1,24.8
"1023",1023,22.1,26.8,31.9,38.6,41.4,38.9,32.9,33.1,32.6,31.9,28.8,24.8
"1024",1024,22.1,26.8,31.7,38.3,41.5,38.7,32.9,33.1,32.7,31.9,28.8,24.7
"1025",1025,22.1,26.5,31.4,37.8,41.3,38.5,32.9,33.1,32.7,31.9,28.7,24.7
"1026",1026,22.1,26.9,31.9,38.5,41.5,38.8,33,33.2,32.9,32.2,29.1,24.8
"1027",1027,22.2,27,32.2,38.7,41.6,38.9,33,33.2,32.8,32.3,29,24.9
"1028",1028,22.2,26.7,31.5,37.9,41,38.4,32.9,33.1,32.9,32,29.2,24.8
"1029",1029,22.1,26.8,31.7,38.3,41.5,38.7,32.9,33.1,32.7,31.9,28.8,24.7
"1030",1030,22.1,26.8,31.7,38.3,41.5,38.7,32.9,33.1,32.7,31.9,28.8,24.7
"1031",1031,22.1,26.8,31.7,38.3,41.5,38.7,32.9,33.1,32.7,31.9,28.8,24.7
"1032",1032,22.1,26.8,31.9,38.6,41.4,38.9,32.9,33.1,32.6,31.9,28.8,24.8
"1033",1033,22.2,26.7,31.5,37.9,41,38.4,32.9,33.1,32.9,32,29.2,24.8
"1034",1034,22.2,26.7,31.5,37.9,41,38.4,32.9,33.1,32.9,32,29.2,24.8
"1035",1035,22.9,27.5,33.1,39.5,41.8,39.1,33.5,33.3,33,33,29.7,25.6
"1036",1036,22.7,27.4,33.3,39.7,41.6,39,33.5,33.4,33.2,33.3,29.9,25.3
"1037",1037,22.5,26.5,30.9,36.1,37.8,36.2,32.6,33,32.7,32,28.8,24.8
"1038",1038,22.3,26.4,31.3,37.2,41.1,38.4,33,33,32.6,31.5,28.5,24.4
"1039",1039,22.5,27.3,32.8,39.1,41.7,39.2,33.3,33.3,33,32.7,29.5,25.2
"1040",1040,22.5,26.4,31.8,37.3,38.1,35.7,32.4,32.9,32.5,32.4,28.6,24.7
"1041",1041,22.3,26.1,30.3,34.2,37.5,36.2,32.4,32.8,32.7,31.6,28.7,24.6
"1042",1042,22.1,26.8,31.8,38.3,41.4,38.6,33,33.1,32.8,32.1,28.9,24.8
"1043",1043,22.1,26.9,31.9,38.5,41.5,38.8,33,33.2,32.9,32.2,29.1,24.8
"1044",1044,22.1,26.8,31.7,38.3,41.5,38.7,32.9,33.1,32.7,31.9,28.8,24.7
"1045",1045,22.1,26.8,31.7,38.3,41.5,38.7,32.9,33.1,32.7,31.9,28.8,24.7
"1046",1046,22.9,27.5,33.1,39.5,41.8,39.1,33.5,33.3,33,33,29.7,25.6
"1047",1047,22.8,26.8,31.4,37.4,41,38.2,33.4,32.8,32.7,31.3,28.9,24.7
"1048",1048,22.5,26.5,31.5,37.1,38.2,36.1,32.4,33,32.5,32.3,28.7,24.9
"1049",1049,22.4,27.1,32.6,39,41.4,38.6,33.2,33.3,32.8,32.8,29.5,25.1
"1050",1050,22.2,27.1,32.1,38.7,41.3,38.6,33,33.2,32.8,32.4,29.4,24.9
"1051",1051,22.4,27.2,32.6,39.1,41.4,38.6,33.1,33.3,32.7,32.8,29.6,25.2
"1052",1052,22.4,26.6,31.9,37.9,39.1,37.3,32.5,33,32.7,32.5,28.9,25
"1053",1053,22.4,26.8,31.9,38.1,39.6,37.4,32.6,33,32.7,32.6,29.1,25.1
"1054",1054,22.4,26.6,31.9,37.9,39.1,37.3,32.5,33,32.7,32.5,28.9,25
"1055",1055,22.7,26.6,31.9,36.8,37.1,35.2,32.5,33.2,32.7,32.1,28.5,24.8
"1056",1056,22.7,26.4,31.7,36.9,37.2,35.2,32.5,33.1,32.6,32.3,28.5,24.8
"1057",1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058",1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1059",1059,22.5,26.5,30.7,35.5,37,35.4,32.6,32.9,32.6,32,28.8,24.8
"1060",1060,22.6,26.2,30,34.2,35.9,34.3,32.1,32.5,32.5,31.6,28.8,25.1
"1061",1061,22.6,26.2,30,34.2,35.9,34.3,32.1,32.5,32.5,31.6,28.8,25.1
"1062",1062,22.6,26.1,30,34.2,35.8,34.3,32,32.6,32.5,31.6,28.8,25.1
"1063",1063,22.5,26.2,30,34.3,35.9,34.4,32.1,32.7,32.6,31.7,28.7,25.1
"1064",1064,22.5,26.2,30,34.3,35.9,34.4,32.1,32.7,32.6,31.7,28.7,25.1
"1065",1065,22.6,26.2,30,34.2,35.9,34.3,32.1,32.5,32.5,31.6,28.8,25.1
"1066",1066,22.6,26.2,30,34.2,35.9,34.3,32.1,32.5,32.5,31.6,28.8,25.1
"1067",1067,22.6,26.2,30,34.2,35.9,34.3,32.1,32.5,32.5,31.6,28.8,25.1
"1068",1068,22.6,26.2,30,34.2,35.9,34.3,32.1,32.5,32.5,31.6,28.8,25.1
"1069",1069,23.4,27.3,30,34.1,36,34.4,32.2,32.5,32.6,31.1,29.3,25.5
"1070",1070,22.4,26.7,31.5,37.4,41.2,38.5,33.1,33,32.7,31.6,28.6,24.5
"1071",1071,22.5,26.4,31.8,37.3,38.1,35.7,32.4,32.9,32.5,32.4,28.6,24.7
"1072",1072,22.6,26.7,32.2,38.1,39,36.5,32.6,32.9,32.8,32.6,28.9,25.1
"1073",1073,22.5,26.4,31.8,37.3,38.1,35.7,32.4,32.9,32.5,32.4,28.6,24.7
"1074",1074,22.6,26.5,32,37.5,38.3,36,32.5,33,32.7,32.4,28.8,25
"1075",1075,22.7,26.7,31.5,36.2,36.9,35.1,32.5,33.2,32.7,32.1,28.5,25.1
"1076",1076,23,26.7,32.1,37.4,37.3,35.3,32.7,33.1,32.6,32.1,28.7,25.2
"1077",1077,22.9,26.6,31.9,36.8,37,35,32.6,33.3,32.7,31.9,28.4,24.9
"1078",1078,23,27,32,37.3,37.1,35.1,32.6,33.2,32.7,31.8,28.6,25
"1079",1079,22.6,26.6,30.8,35.7,36.9,35.2,32.6,33.1,32.8,31.9,28.7,25.1
"1080",1080,22.6,26.3,30.2,34.1,36,34.6,32.3,32.7,32.6,31.6,28.8,25
"1081",1081,22.6,26.2,30,33.9,35.9,34.5,32.1,32.6,32.6,31.5,28.7,25
"1082",1082,22.6,26.2,30,34.2,35.9,34.3,32.1,32.5,32.5,31.6,28.8,25.1
"1083",1083,22.6,26.1,29.9,34.2,35.8,34.2,32,32.6,32.5,31.6,28.7,25.1
