"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,22,26.5,32.1,35.5,35.5,35,32.2,32.6,31.8,32.2,28.3,25
"2",2,22.2,27.4,33.4,39.7,40.9,39.1,33,33,32.1,31.7,28,24.3
"3",3,22.8,27.9,33.8,38.8,37.7,36,32.6,33.1,32.4,32.2,28.8,25.7
"4",4,22.3,27.5,33.5,38.7,38,36.5,32.8,33.3,32.4,32.1,28.4,25.1
"5",5,22.2,27.1,32.7,37.2,37.1,36.2,32.6,32.9,32.3,32.1,28.6,24.9
"6",6,22.2,27.1,32.7,37.2,37.1,36.2,32.6,32.9,32.3,32.1,28.6,24.9
"7",7,22.2,27.1,32.6,37.1,37,36.1,32.6,32.9,32.3,32.1,28.5,24.9
"8",8,22.6,27.5,33.3,39.1,39.3,37.5,32.6,33,32.3,32.5,29,25.1
"9",9,22.9,28.5,34.7,40.5,41.3,39.2,33.5,33.3,32.7,32.7,29.1,24.8
"10",10,23.1,27.5,33.7,38.5,38.9,36.9,32.6,32.8,32.6,32.4,29.2,24.9
"11",11,23.2,27.8,33.8,38.9,39.1,37.2,32.7,32.8,32.5,32.6,29.2,25.2
"12",12,22.1,26.6,32.2,35.5,35.6,34.7,31.9,32.4,31.8,32.1,28.2,25
"13",13,22,26.5,32.2,35.5,35.8,35.1,32.1,32.5,31.8,32.1,28.1,24.9
"14",14,23.1,27.9,33.6,39.2,40.2,38.4,33.3,32.7,32.3,31.8,28.3,25
"15",15,23.1,27.9,33.6,39.2,40.2,38.4,33.3,32.7,32.3,31.8,28.3,25
"16",16,23.1,27.9,33.6,39.2,40.2,38.4,33.3,32.7,32.3,31.8,28.3,25
"17",17,23,27.5,33.6,38.8,39.4,37.2,32.6,32.8,32.4,32.6,29.1,25.1
"18",18,21.9,26.7,32.7,37.6,39.7,37.8,32.8,32.9,32.2,31.9,28,24.4
"19",19,22.4,27.5,33.5,38.6,37.9,36.3,32.7,33.2,32.3,32,28.3,25.1
"20",20,22.8,27.8,33.6,38.6,37.9,36.5,32.5,33.1,32.3,32.1,28.5,25.3
"21",21,22,26.7,32.3,36.2,36.7,35.9,32.4,32.9,32.1,32.1,28.3,24.8
"22",22,22.1,26.9,32.3,35.6,35.5,34.5,32,32.7,31.8,32.2,28.3,25
"23",23,22.1,26.8,32.2,35.4,35.4,34.4,32,32.7,31.9,32.2,28.2,25
"24",24,22.2,26.6,32.2,35.8,35.5,34.8,32,32.5,31.9,32.2,28.1,25.1
"25",25,22,26.5,32.1,35.6,35.8,35.1,32,32.6,31.8,32.1,28,24.9
"26",26,22,26.5,32.1,35.6,35.6,34.8,31.9,32.4,31.7,32,28,25
"27",27,22.1,26.6,32.2,35.6,35.6,34.7,31.8,32.4,31.7,32.1,28.2,25
"28",28,22,26.5,32.1,35.6,35.8,35.1,32,32.6,31.8,32.1,28,24.9
"29",29,22,26.6,32.1,35.6,36.8,36,32.3,32.7,32,32.2,28.3,24.8
"30",30,22,26.5,32.1,35.5,36.3,35.7,32.2,32.7,31.9,32.2,28.1,24.9
"31",31,22.1,27,33.1,38.6,40.5,38.5,33,33.1,32.5,32.1,28.4,24.6
"32",32,22,26.7,32,35.4,35.8,35,32.2,32.7,31.9,32.1,28.3,24.9
"33",33,22,26.7,32,35.4,35.8,35,32.2,32.7,31.9,32.1,28.3,24.9
"34",34,22.1,26.9,32.1,36.3,36.2,35.3,32.4,32.9,32,32.2,28.5,25
"35",35,22,26.7,32,35.4,35.8,35,32.2,32.7,31.9,32.1,28.3,24.9
"36",36,22.1,26.8,32.2,35.4,35.4,34.4,32,32.7,31.9,32.2,28.2,25
"37",37,22,26.6,32,35.4,35.7,34.9,32.1,32.5,31.8,32.1,28.3,24.9
"38",38,22.1,26.8,32.3,35.5,35.5,34.4,32,32.6,31.9,32.2,28.2,25
"39",39,22.1,26.8,32.3,35.5,35.5,34.4,32,32.6,31.9,32.2,28.2,25
"40",40,22.1,26.9,32.1,36.3,36.2,35.3,32.4,32.9,32,32.2,28.5,25
